1184	S. Fischer Verlag	1906	Berlin	NaN	Hauptmann, Gerhart	Gesammelte Werke in 6 Bdn	NaN
1185	S. Fischer Verlag	1906	Berlin	NaN	Hauptmann, Gerhart	Gesammelte Werke in 6 Bdn	NaN
1186	S. Fischer Verlag	1906	Berlin	16. Aufl.	Hauptmann, Gerhart	Hanneles Himmelfahrt	Traumdichtg in 2 Teilen
1187	S. Fischer Verlag	1906	Berlin	NaN	Bernstein, Elsa	Nausikaa	Tragödie
1188	S. Fischer Verlag	1906	Berlin	NaN	Hofmannsthal, Hugo von	Ödipus und die Sphinx	Tragödie in 3 Aufz.
1189	S. Fischer Verlag	1906	Berlin	4. Aufl.	Hauptmann, Gerhart	Und Pippa tanzt!	Ein Glashüttenmärchen in 4 Akten
1190	S. Fischer Verlag	1906	Berlin	NaN	Hauptmann, Gerhart	Und Pippa tanzt!	Ein Glashüttenmärchen in 4 Akten
1191	S. Fischer Verlag	1906	Berlin	3. Aufl.	Schnitzler, Arthur	Zwischenspiel	Komödie in 3 Akten
1164	S. Fischer Verlag	1907	Berlin	NaN	Key, Ellen	Aus drei Essays	Mit Einl. u. Porträt ; [Leseproben]
1165	S. Fischer Verlag	1907	Berlin	NaN	Bab, Julius	Der Andere	Trag. Komödie
1166	S. Fischer Verlag	1907	Berlin	NaN	Bernstein, Max	Der goldene Schlüssel	Kleine Dramen
1167	S. Fischer Verlag	1907	Berlin	NaN	Bahr, Hermann	Die gelbe Nachtigall	NaN
1168	S. Fischer Verlag	1907	Berlin	1.-3. Tsd.	Hofmannsthal, Hugo von	Die prosaischen Schriften gesammelt	NaN
1169	S. Fischer Verlag	1907	Berlin	NaN	Dehmel, Richard	Fitzebutze	Traumspiel in 5 Aufz.
1171	S. Fischer Verlag	1907	Berlin	2. Aufl., (3. und 4. Tsd.)	Geijerstam, Gustaf af	Gefährliche Nächte	Roman
1172	S. Fischer Verlag	1907	Berlin	NaN	Bahr, Hermann	Glossen zum Wiener Theater	(1903-1906)
1173	S. Fischer Verlag	1907	Berlin	NaN	Calé, Walter	Nachgelassene Schriften	NaN
1150	S. Fischer Verlag	1908	Berlin	NaN	Bab, Julius	Das Blut	Ein Drama
1151	S. Fischer Verlag	1908	Berlin	Erstausgabe Wilpert-Gühring 585, 9	Holitscher, Artur	Der Golem	Ghettolegende in 3 Aufz.
1152	S. Fischer Verlag	1908	Berlin	NaN	Schaffner, Jakob	Die Erlhöferin	Roman
1153	S. Fischer Verlag	1908	Berlin	NaN	Lie, Jonas	Eine Ehe	NaN
1155	S. Fischer Verlag	1908	Berlin	1. - 4. Aufl.	Hauptmann, Gerhart	Griechischer Frühling	NaN
1156	S. Fischer Verlag	1908	Berlin	NaN	Dehmel, Richard	Hundert ausgewählte Gedichte	NaN
